subj,month,Total.words,Log.Totalwords
17,16,22,3.1354942159291497
17,17,27,3.332204510175204
17,18,56,4.04305126783455
18,06,0,0.0
18,07,0,0.0
18,08,0,0.0
18,09,0,0.0
18,10,3,1.3862943611198906
18,11,4,1.6094379124341003
18,12,5,1.791759469228055
18,13,5,1.791759469228055
18,14,9,2.302585092994046
18,15,18,2.9444389791664403
18,16,32,3.4965075614664802
18,17,46,3.8501476017100584
18,18,102,4.634728988229636
19,06,0,0.0
19,07,0,0.0
19,08,0,0.0
19,09,0,0.0
19,10,0,0.0
19,11,0,0.0
19,12,7,2.0794415416798357
19,13,25,3.258096538021482
19,14,41,3.7376696182833684
19,15,66,4.204692619390966
19,16,132,4.890349128221754
19,17,133,4.897839799950911
19,18,166,5.117993812416755
20,06,0,0.0
20,07,0,0.0
20,08,0,0.0
20,09,0,0.0
20,10,0,0.0
20,11,2,1.0986122886681098
20,12,6,1.9459101490553132
20,13,7,2.0794415416798357
20,14,9,2.302585092994046
20,15,10,2.3978952727983707
20,16,40,3.713572066704308
20,17,54,4.007333185232471
20,18,82,4.418840607796598
21,06,0,0.0
21,07,0,0.0
21,08,0,0.0
21,09,1,0.6931471805599453
21,10,9,2.302585092994046
21,11,15,2.772588722239781
21,12,20,3.044522437723423
21,13,21,3.091042453358316
21,14,22,3.1354942159291497
21,15,29,3.4011973816621555
21,16,15,2.772588722239781
21,17,22,3.1354942159291497
21,18,NA,NA
22,06,0,0.0
22,07,0,0.0
22,08,0,0.0
22,09,0,0.0
22,10,0,0.0
22,11,3,1.3862943611198906
22,12,3,1.3862943611198906
22,13,5,1.791759469228055
22,14,8,2.1972245773362196
22,15,20,3.044522437723423
22,16,37,3.6375861597263857
22,17,49,3.912023005428146
22,18,75,4.330733340286331
23,06,0,0.0
23,07,0,0.0
23,08,0,0.0
23,09,0,0.0
23,10,0,0.0
23,11,0,0.0
23,12,0,0.0
23,13,2,1.0986122886681098
23,14,3,1.3862943611198906
23,15,3,1.3862943611198906
23,16,NA,NA
23,17,NA,NA
23,18,2,1.0986122886681098
25,06,0,0.0
25,07,0,0.0
25,08,0,0.0
25,09,0,0.0
25,10,2,1.0986122886681098
25,11,6,1.9459101490553132
25,12,14,2.70805020110221
25,13,21,3.091042453358316
25,14,25,3.258096538021482
25,15,16,2.833213344056216
25,16,28,3.367295829986474
25,17,46,3.8501476017100584
25,18,73,4.30406509320417
26,06,0,0.0
26,07,0,0.0
26,08,0,0.0
26,09,0,0.0
26,10,0,0.0
26,11,0,0.0
26,12,7,2.0794415416798357
26,13,10,2.3978952727983707
26,14,11,2.4849066497880004
26,15,20,3.044522437723423
26,16,25,3.258096538021482
26,17,27,3.332204510175204
26,18,NA,NA
27,06,0,0.0
27,07,0,0.0
27,08,0,0.0
27,09,0,0.0
27,10,1,0.6931471805599453
27,11,1,0.6931471805599453
27,12,1,0.6931471805599453
27,13,2,1.0986122886681098
27,14,3,1.3862943611198906
27,15,2,1.0986122886681098
27,16,2,1.0986122886681098
27,17,4,1.6094379124341003
27,18,24,3.2188758248682006
28,06,0,0.0
28,07,NA,NA
28,08,0,0.0
28,09,0,0.0
28,10,0,0.0
28,11,3,1.3862943611198906
28,12,4,1.6094379124341003
28,13,16,2.833213344056216
28,14,38,3.6635616461296463
28,15,34,3.5553480614894135
28,16,NA,NA
28,17,NA,NA
28,18,NA,NA
29,06,0,0.0
29,07,1,0.6931471805599453
29,08,1,0.6931471805599453
29,09,1,0.6931471805599453
29,10,1,0.6931471805599453
29,11,1,0.6931471805599453
29,12,4,1.6094379124341003
29,13,7,2.0794415416798357
29,14,16,2.833213344056216
29,15,14,2.70805020110221
29,16,21,3.091042453358316
29,17,47,3.871201010907891
29,18,69,4.248495242049359
30,06,0,0.0
30,07,0,0.0
30,08,0,0.0
30,09,NA,NA
30,10,1,0.6931471805599453
30,11,1,0.6931471805599453
30,12,4,1.6094379124341003
30,13,3,1.3862943611198906
30,14,3,1.3862943611198906
30,15,4,1.6094379124341003
30,16,6,1.9459101490553132
30,17,NA,NA
30,18,NA,NA
31,06,0,0.0
31,07,0,0.0
31,08,0,0.0
31,09,0,0.0
31,10,0,0.0
31,11,0,0.0
31,12,0,0.0
31,13,1,0.6931471805599453
31,14,3,1.3862943611198906
31,15,12,2.5649493574615367
31,16,15,2.772588722239781
31,17,19,2.995732273553991
31,18,51,3.9512437185814275
32,06,0,0.0
32,07,0,0.0
32,08,0,0.0
32,09,0,0.0
32,10,0,0.0
32,11,2,1.0986122886681098
32,12,2,1.0986122886681098
32,13,2,1.0986122886681098
32,14,2,1.0986122886681098
32,15,6,1.9459101490553132
32,16,9,2.302585092994046
32,17,10,2.3978952727983707
32,18,20,3.044522437723423
33,06,0,0.0
33,07,0,0.0
33,08,0,0.0
33,09,2,1.0986122886681098
33,10,2,1.0986122886681098
33,11,2,1.0986122886681098
33,12,2,1.0986122886681098
33,13,2,1.0986122886681098
33,14,0,0.0
33,15,0,0.0
33,16,9,2.302585092994046
33,17,15,2.772588722239781
33,18,22,3.1354942159291497
34,06,0,0.0
34,07,0,0.0
34,08,0,0.0
34,09,2,1.0986122886681098
34,10,2,1.0986122886681098
34,11,2,1.0986122886681098
34,12,2,1.0986122886681098
34,13,2,1.0986122886681098
34,14,0,0.0
34,15,0,0.0
34,16,0,0.0
34,17,0,0.0
34,18,0,0.0
35,06,0,0.0
35,07,0,0.0
35,08,0,0.0
35,09,0,0.0
35,10,0,0.0
35,11,1,0.6931471805599453
35,12,2,1.0986122886681098
35,13,2,1.0986122886681098
35,14,2,1.0986122886681098
35,15,4,1.6094379124341003
35,16,4,1.6094379124341003
35,17,4,1.6094379124341003
35,18,5,1.791759469228055
36,06,0,0.0
36,07,0,0.0
36,08,0,0.0
36,09,0,0.0
36,10,0,0.0
36,11,0,0.0
36,12,0,0.0
36,13,0,0.0
36,14,0,0.0
36,15,1,0.6931471805599453
36,16,1,0.6931471805599453
36,17,1,0.6931471805599453
36,18,5,1.791759469228055
37,06,0,0.0
37,07,0,0.0
37,08,0,0.0
37,09,0,0.0
37,10,0,0.0
37,11,0,0.0
37,12,0,0.0
37,13,0,0.0
37,14,1,0.6931471805599453
37,15,1,0.6931471805599453
37,16,5,1.791759469228055
37,17,16,2.833213344056216
37,18,22,3.1354942159291497
38,06,0,0.0
38,07,0,0.0
38,08,0,0.0
38,09,0,0.0
38,10,0,0.0
38,11,6,1.9459101490553132
38,12,NA,NA
38,13,10,2.3978952727983707
38,14,11,2.4849066497880004
38,15,17,2.8903717578961645
38,16,21,3.091042453358316
38,17,26,3.295836866004329
38,18,35,3.58351893845611
39,06,0,0.0
39,07,0,0.0
39,08,0,0.0
39,09,0,0.0
39,10,0,0.0
39,11,1,0.6931471805599453
39,12,NA,NA
39,13,NA,NA
39,14,1,0.6931471805599453
39,15,2,1.0986122886681098
39,16,3,1.3862943611198906
39,17,NA,NA
39,18,NA,NA
40,06,0,0.0
40,07,0,0.0
40,08,NA,NA
40,09,0,0.0
40,10,0,0.0
40,11,0,0.0
40,12,0,0.0
40,13,0,0.0
40,14,1,0.6931471805599453
40,15,NA,NA
40,16,1,0.6931471805599453
40,17,NA,NA
40,18,NA,NA
41,06,0,0.0
41,07,0,0.0
41,08,0,0.0
41,09,0,0.0
41,10,0,0.0
41,11,0,0.0
41,12,2,1.0986122886681098
41,13,2,1.0986122886681098
41,14,4,1.6094379124341003
41,15,5,1.791759469228055
41,16,8,2.1972245773362196
41,17,13,2.6390573296152584
41,18,NA,NA
42,06,0,0.0
42,07,0,0.0
42,08,0,0.0
42,09,0,0.0
42,10,0,0.0
42,11,0,0.0
42,12,3,1.3862943611198906
42,13,1,0.6931471805599453
42,14,3,1.3862943611198906
42,15,7,2.0794415416798357
42,16,14,2.70805020110221
42,17,22,3.1354942159291497
42,18,NA,NA
43,06,0,0.0
43,07,0,0.0
43,08,0,0.0
43,09,0,0.0
43,10,0,0.0
43,11,0,0.0
43,12,1,0.6931471805599453
43,13,0,0.0
43,14,0,0.0
43,15,0,0.0
43,16,0,0.0
43,17,0,0.0
43,18,0,0.0
44,06,0,0.0
44,07,0,0.0
44,08,1,0.6931471805599453
44,09,1,0.6931471805599453
44,10,1,0.6931471805599453
44,11,1,0.6931471805599453
44,12,1,0.6931471805599453
44,13,1,0.6931471805599453
44,14,2,1.0986122886681098
44,15,2,1.0986122886681098
44,16,2,1.0986122886681098
44,17,9,2.302585092994046
44,18,14,2.70805020110221
45,06,0,0.0
45,07,2,1.0986122886681098
45,08,3,1.3862943611198906
45,09,3,1.3862943611198906
45,10,4,1.6094379124341003
45,11,9,2.302585092994046
45,12,10,2.3978952727983707
45,13,21,3.091042453358316
45,14,21,3.091042453358316
45,15,1,0.6931471805599453
45,16,1,0.6931471805599453
45,17,5,1.791759469228055
45,18,7,2.0794415416798357
46,06,0,0.0
46,07,0,0.0
46,08,0,0.0
46,09,0,0.0
46,10,0,0.0
46,11,2,1.0986122886681098
46,12,NA,NA
46,13,1,0.6931471805599453
46,14,1,0.6931471805599453
46,15,4,1.6094379124341003
46,16,4,1.6094379124341003
46,17,10,2.3978952727983707
46,18,19,2.995732273553991
